id,history_id,history_name,state,tool_id,invocation_id,workflow_id,cpuacct.usage,galaxy_memory_mb,galaxy_slots,memory.limit_in_bytes,memory.max_usage_in_bytes,memory.soft_limit_in_bytes,memtotal,processor_count,runtime_seconds
6877bf9e059c9f06,00ee7d2f08c3dd10,Cascade-Col-H-10GB,ok,cufflinks/2.2.1.3,,,12970483674397.0000000,68719.0000000,8.0000000,68719476736.0000000,9811116032.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,5152.0000000
5f6937d789fda09c,00ee7d2f08c3dd10,Cascade-Col-H-10GB,ok,wig_to_bigWig,,,24285141914.0000000,10737.0000000,1.0000000,10737418240.0000000,2024927232.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,24.0000000
293ba1121d99aa94,00ee7d2f08c3dd10,Cascade-Col-H-10GB,ok,wig_to_bigWig,,,23681503082.0000000,10737.0000000,1.0000000,10737418240.0000000,1935265792.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,24.0000000
5cd5b7f7ca65d4cb,00ee7d2f08c3dd10,Cascade-Col-H-10GB,ok,bedtools_genomecoveragebed/2.30.0,,,304252883021.0000000,4080.0000000,1.0000000,4080218112.0000000,2608816128.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,305.0000000
38b27f7f8ada75e6,00ee7d2f08c3dd10,Cascade-Col-H-10GB,ok,bedtools_genomecoveragebed/2.30.0,,,288579363173.0000000,4080.0000000,1.0000000,4080218112.0000000,4079767552.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,289.0000000
5d80cddc1c4c4feb,00ee7d2f08c3dd10,Cascade-Col-H-10GB,ok,revertR2orientationInBam/0.0.2,,,863930965696.0000000,4080.0000000,1.0000000,4080218112.0000000,4079800320.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,867.0000000
debab08dc254392e,00ee7d2f08c3dd10,Cascade-Col-H-10GB,ok,wig_to_bigWig,,,46235273334.0000000,10737.0000000,1.0000000,10737418240.0000000,3780526080.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,46.0000000
86fbe421ff0afd21,00ee7d2f08c3dd10,Cascade-Col-H-10GB,ok,bedtools_genomecoveragebed/2.30.0,,,383078310413.0000000,4080.0000000,1.0000000,4080218112.0000000,4079771648.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,384.0000000
be8512781c614a30,00ee7d2f08c3dd10,Cascade-Col-H-10GB,ok,bamFilter/2.5.2+galaxy1,,,1385508911975.0000000,4080.0000000,1.0000000,4080218112.0000000,4079767552.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,1385.0000000
538c2479aac89c90,00ee7d2f08c3dd10,Cascade-Col-H-10GB,ok,param_value_from_file,,,3832999522.0000000,4080.0000000,1.0000000,4080218112.0000000,188424192.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,4.0000000
f911a9aaa7152e23,00ee7d2f08c3dd10,Cascade-Col-H-10GB,ok,multiqc/1.11+galaxy1,,,6797963534.0000000,12240.0000000,1.0000000,12240654336.0000000,128069632.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,7.0000000
9d70c4c7c6a9c9ae,00ee7d2f08c3dd10,Cascade-Col-H-10GB,ok,tp_awk_tool/1.1.2,,,65793026.0000000,4080.0000000,1.0000000,4080218112.0000000,4812800.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,0E-7
cf5379d6641160f0,00ee7d2f08c3dd10,Cascade-Col-H-10GB,ok,tp_awk_tool/1.1.2,,,301117299.0000000,4080.0000000,1.0000000,4080218112.0000000,8093696.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,0E-7
161ac2185ce3b4b4,00ee7d2f08c3dd10,Cascade-Col-H-10GB,ok,rna_star/2.7.8a+galaxy1,,,7475993198332.0000000,137438.0000000,16.0000000,137438953472.0000000,80571592704.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,1511.0000000
ba8d8bda7e416c93,00ee7d2f08c3dd10,Cascade-Col-H-10GB,ok,cutadapt/4.0+galaxy1,,,3330626058163.0000000,20401.0000000,5.0000000,20401094656.0000000,20400758784.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,722.0000000
