Run,Cloud,Job Conf,Workflow,History,Inputs,Tool,Tool Version,State,Slots,Memory,Runtime (Sec),CPU,Memory Limit (Bytes),Memory Max usage (Bytes)
3,cascade,col-e,5da8e8f4b6cb8b42,7bf17889b9bb0e8a,SRR24043307 ucsc.hg38.knownGene.gtf,wig_to_bigWig,unknown,ok,1.0000000,10737.0000000,11.0000000,10616908801.0000000,10737418240.0000000,906371072.0000000
1,cascade,col-e,5da8e8f4b6cb8b42,388eb73757ab7098,SRR24043307 ucsc.hg38.knownGene.gtf,map_param_value,0.1.1,ok,1.0000000,4080.0000000,4.0000000,3577735528.0000000,4080218112.0000000,186232832.0000000
1,cascade,col-d,5da8e8f4b6cb8b42,84a63edea26c2a34,SRR24043307 ucsc.hg38.knownGene.gtf,wig_to_bigWig,unknown,ok,1.0000000,10737.0000000,10.0000000,10091570572.0000000,10737418240.0000000,906399744.0000000
1,cascade,col-e,5da8e8f4b6cb8b42,388eb73757ab7098,SRR24043307 ucsc.hg38.knownGene.gtf,rna_star,2.7.8a+galaxy1,ok,16.0000000,68719.0000000,460.0000000,2204829101703.0000000,68719476736.0000000,45848121344.0000000
1,cascade,col-h,5da8e8f4b6cb8b42,45e010d8e5d30836,SRR24043307 ucsc.hg38.knownGene.gtf,rna_star,2.7.8a+galaxy1,ok,16.0000000,68719.0000000,452.0000000,2223556096601.0000000,68719476736.0000000,45260513280.0000000
2,cascade,col-e,5da8e8f4b6cb8b42,7be1a33c4472f1f7,SRR24043307 ucsc.hg38.knownGene.gtf,revertR2orientationInBam,0.0.2,ok,1.0000000,4080.0000000,179.0000000,178536499803.0000000,4080218112.0000000,1037848576.0000000
3,cascade,col-e,5da8e8f4b6cb8b42,7bf17889b9bb0e8a,SRR24043307 ucsc.hg38.knownGene.gtf,bedtools_genomecoveragebed,2.30.0,ok,1.0000000,4080.0000000,80.0000000,79403298419.0000000,4080218112.0000000,2025205760.0000000
3,cascade,col-e,5da8e8f4b6cb8b42,7bf17889b9bb0e8a,SRR24043307 ucsc.hg38.knownGene.gtf,wig_to_bigWig,unknown,ok,1.0000000,10737.0000000,21.0000000,20619722341.0000000,10737418240.0000000,1796083712.0000000
3,cascade,col-e,5da8e8f4b6cb8b42,7bf17889b9bb0e8a,SRR24043307 ucsc.hg38.knownGene.gtf,rna_star,2.7.8a+galaxy1,ok,16.0000000,68719.0000000,455.0000000,2235127955390.0000000,68719476736.0000000,48209891328.0000000
3,cascade,col-d,5da8e8f4b6cb8b42,b2dead7a3d4ae5ca,SRR24043307 ucsc.hg38.knownGene.gtf,multiqc,1.11+galaxy1,ok,1.0000000,12240.0000000,8.0000000,6950755846.0000000,12240654336.0000000,121298944.0000000
3,cascade,col-e,5da8e8f4b6cb8b42,7bf17889b9bb0e8a,SRR24043307 ucsc.hg38.knownGene.gtf,map_param_value,0.1.1,ok,1.0000000,4080.0000000,3.0000000,3819192328.0000000,4080218112.0000000,185872384.0000000
2,cascade,col-d,5da8e8f4b6cb8b42,744a17ef32270192,SRR24043307 ucsc.hg38.knownGene.gtf,tp_awk_tool,1.1.2,ok,1.0000000,4080.0000000,0E-7,291910792.0000000,4080218112.0000000,7913472.0000000
