Run,Cloud,Job Conf,Workflow,History,Inputs,Tool,Tool Version,State,Slots,Memory,Runtime (Sec),CPU,Memory Limit (Bytes),Memory Max usage (Bytes)
1,cascade,col-h,5da8e8f4b6cb8b42,cc79dfc8700b9481,SRR24043307 ucsc.hg38.knownGene.gtf,wig_to_bigWig,unknown,ok,1.0000000,10737.0000000,10.0000000,10103443254.0000000,10737418240.0000000,906493952.0000000
2,cascade,col-h,5da8e8f4b6cb8b42,29553d0dcb102781,SRR24043307 ucsc.hg38.knownGene.gtf,revertR2orientationInBam,0.0.2,ok,1.0000000,4080.0000000,177.0000000,176380756996.0000000,4080218112.0000000,2040094720.0000000
2,cascade,col-h,5da8e8f4b6cb8b42,29553d0dcb102781,SRR24043307 ucsc.hg38.knownGene.gtf,map_param_value,0.1.1,ok,1.0000000,4080.0000000,4.0000000,3818806980.0000000,4080218112.0000000,186204160.0000000
1,cascade,col-h,5da8e8f4b6cb8b42,cc79dfc8700b9481,SRR24043307 ucsc.hg38.knownGene.gtf,wig_to_bigWig,unknown,ok,1.0000000,10737.0000000,11.0000000,10651201330.0000000,10737418240.0000000,948285440.0000000
3,cascade,col-h,5da8e8f4b6cb8b42,a98e1e08c2b1430d,SRR24043307 ucsc.hg38.knownGene.gtf,multiqc,1.11+galaxy1,ok,1.0000000,12240.0000000,8.0000000,7063849568.0000000,12240654336.0000000,117366784.0000000
3,cascade,col-h,5da8e8f4b6cb8b42,a98e1e08c2b1430d,SRR24043307 ucsc.hg38.knownGene.gtf,map_param_value,0.1.1,ok,1.0000000,4080.0000000,4.0000000,3870693057.0000000,4080218112.0000000,186028032.0000000
1,cascade,col-h,5da8e8f4b6cb8b42,cc79dfc8700b9481,SRR24043307 ucsc.hg38.knownGene.gtf,compose_text_param,0.1.1,ok,1.0000000,4080.0000000,3.0000000,3228723305.0000000,4080218112.0000000,186216448.0000000
3,cascade,col-h,5da8e8f4b6cb8b42,a98e1e08c2b1430d,SRR24043307 ucsc.hg38.knownGene.gtf,cufflinks,2.2.1.3,ok,8.0000000,34359.0000000,1364.0000000,6610923826818.0000000,34359738368.0000000,4231823360.0000000
2,cascade,col-h,5da8e8f4b6cb8b42,29553d0dcb102781,SRR24043307 ucsc.hg38.knownGene.gtf,compose_text_param,0.1.1,error,,,,,,
1,cascade,col-h,5da8e8f4b6cb8b42,cc79dfc8700b9481,SRR24043307 ucsc.hg38.knownGene.gtf,revertR2orientationInBam,0.0.2,ok,1.0000000,4080.0000000,183.0000000,182352871989.0000000,4080218112.0000000,1019346944.0000000
3,cascade,col-h,5da8e8f4b6cb8b42,a98e1e08c2b1430d,SRR24043307 ucsc.hg38.knownGene.gtf,wig_to_bigWig,unknown,ok,1.0000000,10737.0000000,21.0000000,20581680641.0000000,10737418240.0000000,1796104192.0000000
1,cascade,col-h,5da8e8f4b6cb8b42,cc79dfc8700b9481,SRR24043307 ucsc.hg38.knownGene.gtf,bamFilter,2.5.2+galaxy1,ok,1.0000000,4080.0000000,296.0000000,296047177320.0000000,4080218112.0000000,1926320128.0000000
2,cascade,col-h,5da8e8f4b6cb8b42,29553d0dcb102781,SRR24043307 ucsc.hg38.knownGene.gtf,compose_text_param,0.1.1,ok,1.0000000,4080.0000000,4.0000000,3791728329.0000000,4080218112.0000000,186269696.0000000
2,cascade,col-h,5da8e8f4b6cb8b42,29553d0dcb102781,SRR24043307 ucsc.hg38.knownGene.gtf,tp_awk_tool,1.1.2,ok,1.0000000,4080.0000000,0E-7,63374083.0000000,4080218112.0000000,4837376.0000000
3,cascade,col-h,5da8e8f4b6cb8b42,a98e1e08c2b1430d,SRR24043307 ucsc.hg38.knownGene.gtf,revertR2orientationInBam,0.0.2,ok,1.0000000,4080.0000000,180.0000000,179912291873.0000000,4080218112.0000000,1037414400.0000000
