Run,Cloud,Job Conf,Workflow,History,Inputs,Tool,Tool Version,State,Slots,Memory,Runtime (Sec),CPU,Memory Limit (Bytes),Memory Max usage (Bytes)
3,cascade,col-d,c6f26c88ccf8b25b,47c35a5c4bb1d8aa,SRR24043307 ucsc.hg38.knownGene.gtf,multiqc,1.11+galaxy1,deleting,,,,,,
2,cascade,col-h,1978dc6b6a4de271,235ffa5a82991e41,SRR24043307 ucsc.hg38.knownGene.gtf,compose_text_param,0.1.1,ok,1.0000000,4080.0000000,3.0000000,3362986344.0000000,4080218112.0000000,186286080.0000000
2,cascade,col-d,c6f26c88ccf8b25b,cf9e563e62712f91,SRR24043307 ucsc.hg38.knownGene.gtf,cutadapt,4.0+galaxy1,error,5.0000000,20401.0000000,0E-7,132397003.0000000,20401094656.0000000,13266944.0000000
2,cascade,col-d,c6f26c88ccf8b25b,cf9e563e62712f91,SRR24043307 ucsc.hg38.knownGene.gtf,bamFilter,2.5.2+galaxy1,deleted,,,,,,
3,cascade,col-d,c6f26c88ccf8b25b,47c35a5c4bb1d8aa,SRR24043307 ucsc.hg38.knownGene.gtf,rna_star,2.7.8a+galaxy1,deleting,,,,,,
3,cascade,col-d,c6f26c88ccf8b25b,47c35a5c4bb1d8aa,SRR24043307 ucsc.hg38.knownGene.gtf,map_param_value,0.1.1,ok,1.0000000,4080.0000000,3.0000000,3381235469.0000000,4080218112.0000000,186208256.0000000
3,cascade,col-h,1978dc6b6a4de271,7fc33a41aa53683f,SRR24043307 ucsc.hg38.knownGene.gtf,cutadapt,4.0+galaxy1,error,5.0000000,20401.0000000,0E-7,138993353.0000000,20401094656.0000000,12877824.0000000
2,cascade,col-h,1978dc6b6a4de271,235ffa5a82991e41,SRR24043307 ucsc.hg38.knownGene.gtf,cutadapt,4.0+galaxy1,error,5.0000000,20401.0000000,0E-7,136511942.0000000,20401094656.0000000,13107200.0000000
3,cascade,col-d,c6f26c88ccf8b25b,47c35a5c4bb1d8aa,SRR24043307 ucsc.hg38.knownGene.gtf,map_param_value,0.1.1,ok,1.0000000,4080.0000000,3.0000000,3590795983.0000000,4080218112.0000000,186454016.0000000
4,cascade,col-h,1978dc6b6a4de271,28082245c7fc3727,SRR24043307 ucsc.hg38.knownGene.gtf,cutadapt,4.0+galaxy1,error,5.0000000,20401.0000000,0E-7,139070653.0000000,20401094656.0000000,12759040.0000000
3,cascade,col-h,1978dc6b6a4de271,7fc33a41aa53683f,SRR24043307 ucsc.hg38.knownGene.gtf,param_value_from_file,unknown,deleted,,,,,,
3,cascade,col-d,c6f26c88ccf8b25b,47c35a5c4bb1d8aa,SRR24043307 ucsc.hg38.knownGene.gtf,bamFilter,2.5.2+galaxy1,deleting,,,,,,
3,cascade,col-h,1978dc6b6a4de271,7fc33a41aa53683f,SRR24043307 ucsc.hg38.knownGene.gtf,cutadapt,4.0+galaxy1,error,5.0000000,20401.0000000,0E-7,140780129.0000000,20401094656.0000000,12791808.0000000
4,cascade,col-d,c6f26c88ccf8b25b,18b4b384056fe984,SRR24043307 ucsc.hg38.knownGene.gtf,bamFilter,2.5.2+galaxy1,deleted,,,,,,
4,cascade,col-h,1978dc6b6a4de271,28082245c7fc3727,SRR24043307 ucsc.hg38.knownGene.gtf,map_param_value,0.1.1,ok,1.0000000,4080.0000000,4.0000000,3374089503.0000000,4080218112.0000000,186097664.0000000
3,cascade,col-d,c6f26c88ccf8b25b,47c35a5c4bb1d8aa,SRR24043307 ucsc.hg38.knownGene.gtf,cutadapt,4.0+galaxy1,error,5.0000000,20401.0000000,0E-7,134654688.0000000,20401094656.0000000,13246464.0000000
3,cascade,col-h,1978dc6b6a4de271,7fc33a41aa53683f,SRR24043307 ucsc.hg38.knownGene.gtf,cutadapt,4.0+galaxy1,error,5.0000000,20401.0000000,0E-7,134994300.0000000,20401094656.0000000,13414400.0000000
4,cascade,col-h,1978dc6b6a4de271,28082245c7fc3727,SRR24043307 ucsc.hg38.knownGene.gtf,cutadapt,4.0+galaxy1,error,5.0000000,20401.0000000,0E-7,137602901.0000000,20401094656.0000000,13000704.0000000
4,cascade,col-d,c6f26c88ccf8b25b,18b4b384056fe984,SRR24043307 ucsc.hg38.knownGene.gtf,map_param_value,0.1.1,ok,1.0000000,4080.0000000,3.0000000,3518175679.0000000,4080218112.0000000,186281984.0000000
2,cascade,col-h,1978dc6b6a4de271,235ffa5a82991e41,SRR24043307 ucsc.hg38.knownGene.gtf,rna_star,2.7.8a+galaxy1,deleting,,,,,,
3,cascade,col-d,c6f26c88ccf8b25b,47c35a5c4bb1d8aa,SRR24043307 ucsc.hg38.knownGene.gtf,tp_awk_tool,1.1.2,deleted,,,,,,
3,cascade,col-h,1978dc6b6a4de271,7fc33a41aa53683f,SRR24043307 ucsc.hg38.knownGene.gtf,revertR2orientationInBam,0.0.2,deleted,,,,,,
4,cascade,col-d,c6f26c88ccf8b25b,18b4b384056fe984,SRR24043307 ucsc.hg38.knownGene.gtf,cutadapt,4.0+galaxy1,error,5.0000000,20401.0000000,0E-7,135019861.0000000,20401094656.0000000,12976128.0000000
3,cascade,col-d,c6f26c88ccf8b25b,47c35a5c4bb1d8aa,SRR24043307 ucsc.hg38.knownGene.gtf,compose_text_param,0.1.1,ok,1.0000000,4080.0000000,4.0000000,3381872454.0000000,4080218112.0000000,186245120.0000000
4,cascade,col-d,c6f26c88ccf8b25b,18b4b384056fe984,SRR24043307 ucsc.hg38.knownGene.gtf,param_value_from_file,unknown,deleted,,,,,,
2,cascade,col-d,c6f26c88ccf8b25b,cf9e563e62712f91,SRR24043307 ucsc.hg38.knownGene.gtf,cutadapt,4.0+galaxy1,error,5.0000000,20401.0000000,0E-7,134825093.0000000,20401094656.0000000,12959744.0000000
2,cascade,col-h,1978dc6b6a4de271,235ffa5a82991e41,SRR24043307 ucsc.hg38.knownGene.gtf,multiqc,1.11+galaxy1,deleting,,,,,,
2,cascade,col-h,1978dc6b6a4de271,235ffa5a82991e41,SRR24043307 ucsc.hg38.knownGene.gtf,cutadapt,4.0+galaxy1,error,5.0000000,20401.0000000,0E-7,135905800.0000000,20401094656.0000000,13115392.0000000
4,cascade,col-d,c6f26c88ccf8b25b,18b4b384056fe984,SRR24043307 ucsc.hg38.knownGene.gtf,revertR2orientationInBam,0.0.2,deleted,,,,,,
4,cascade,col-h,1978dc6b6a4de271,28082245c7fc3727,SRR24043307 ucsc.hg38.knownGene.gtf,multiqc,1.11+galaxy1,deleted,,,,,,
3,cascade,col-h,1978dc6b6a4de271,7fc33a41aa53683f,SRR24043307 ucsc.hg38.knownGene.gtf,bamFilter,2.5.2+galaxy1,deleted,,,,,,
4,cascade,col-d,c6f26c88ccf8b25b,18b4b384056fe984,SRR24043307 ucsc.hg38.knownGene.gtf,cutadapt,4.0+galaxy1,error,5.0000000,20401.0000000,0E-7,139517077.0000000,20401094656.0000000,13152256.0000000
