Run,Cloud,Job Conf,Workflow,History,Inputs,Tool,Tool Version,State,Slots,Memory,Runtime (Sec),CPU,Memory Limit (Bytes),Memory Max usage (Bytes)
2,ice2,ice-lake,57b34d610b01b7e1,858ec42cacb27544,SRR24043307 ucsc.hg38.knownGene.gtf,bedtools_genomecoveragebed,2.30.0,ok,1.0000000,4080.0000000,96.0000000,95431611172.0000000,4080218112.0000000,2780659712.0000000
1,ice2,ice-lake,57b34d610b01b7e1,d0ec93c740e3d86e,SRR24043307-50 ucsc.hg38.knownGene.gtf,map_param_value,0.1.1,ok,1.0000000,4080.0000000,4.0000000,3627905062.0000000,4080218112.0000000,184594432.0000000
3,ice2,ice-lake,57b34d610b01b7e1,9c4d91c977a8550c,SRR24043307 ucsc.hg38.knownGene.gtf,cutadapt,4.0+galaxy1,ok,5.0000000,20401.0000000,144.0000000,657490919537.0000000,20401094656.0000000,5888061440.0000000
2,ice2,ice-lake,57b34d610b01b7e1,858ec42cacb27544,SRR24043307 ucsc.hg38.knownGene.gtf,tp_awk_tool,1.1.2,ok,1.0000000,4080.0000000,0E-7,281450658.0000000,4080218112.0000000,12210176.0000000
1,ice2,ice-lake,57b34d610b01b7e1,d0ec93c740e3d86e,SRR24043307-50 ucsc.hg38.knownGene.gtf,map_param_value,0.1.1,ok,1.0000000,4080.0000000,4.0000000,3580794473.0000000,4080218112.0000000,184492032.0000000
3,ice2,ice-lake,57b34d610b01b7e1,9c4d91c977a8550c,SRR24043307 ucsc.hg38.knownGene.gtf,tp_awk_tool,1.1.2,ok,1.0000000,4080.0000000,0E-7,49260788.0000000,4080218112.0000000,7417856.0000000
3,ice2,ice-lake,57b34d610b01b7e1,9c4d91c977a8550c,SRR24043307 ucsc.hg38.knownGene.gtf,revertR2orientationInBam,0.0.2,ok,1.0000000,4080.0000000,186.0000000,184664206892.0000000,4080218112.0000000,2039578624.0000000
1,ice2,ice-lake,57b34d610b01b7e1,7a16757b385100f9,SRR24043307 ucsc.hg38.knownGene.gtf,wig_to_bigWig,unknown,ok,1.0000000,10737.0000000,21.0000000,20137364700.0000000,10737418240.0000000,1795887104.0000000
2,ice2,ice-lake,57b34d610b01b7e1,858ec42cacb27544,SRR24043307 ucsc.hg38.knownGene.gtf,bamFilter,2.5.2+galaxy1,ok,1.0000000,4080.0000000,295.0000000,294988389782.0000000,4080218112.0000000,1326292992.0000000
1,ice2,ice-lake,57b34d610b01b7e1,7a16757b385100f9,SRR24043307 ucsc.hg38.knownGene.gtf,tp_awk_tool,1.1.2,ok,1.0000000,4080.0000000,0E-7,48305839.0000000,4080218112.0000000,7536640.0000000
3,ice2,ice-lake,57b34d610b01b7e1,9c4d91c977a8550c,SRR24043307 ucsc.hg38.knownGene.gtf,map_param_value,0.1.1,ok,1.0000000,4080.0000000,3.0000000,3678457383.0000000,4080218112.0000000,184537088.0000000
3,ice2,ice-lake,57b34d610b01b7e1,9c4d91c977a8550c,SRR24043307 ucsc.hg38.knownGene.gtf,bamFilter,2.5.2+galaxy1,ok,1.0000000,4080.0000000,294.0000000,294858264263.0000000,4080218112.0000000,1544347648.0000000
2,ice2,ice-lake,57b34d610b01b7e1,858ec42cacb27544,SRR24043307 ucsc.hg38.knownGene.gtf,compose_text_param,0.1.1,ok,1.0000000,4080.0000000,4.0000000,3711098136.0000000,4080218112.0000000,184066048.0000000
1,ice2,ice-lake,57b34d610b01b7e1,7a16757b385100f9,SRR24043307 ucsc.hg38.knownGene.gtf,bedtools_genomecoveragebed,2.30.0,ok,1.0000000,4080.0000000,74.0000000,74164662554.0000000,4080218112.0000000,2145644544.0000000
1,ice2,ice-lake,57b34d610b01b7e1,7a16757b385100f9,SRR24043307 ucsc.hg38.knownGene.gtf,map_param_value,0.1.1,ok,1.0000000,4080.0000000,4.0000000,3453969844.0000000,4080218112.0000000,184864768.0000000
1,ice2,ice-lake,57b34d610b01b7e1,d0ec93c740e3d86e,SRR24043307-50 ucsc.hg38.knownGene.gtf,cutadapt,4.0+galaxy1,error,,,,,,
1,ice2,ice-lake,57b34d610b01b7e1,d0ec93c740e3d86e,SRR24043307-50 ucsc.hg38.knownGene.gtf,bamFilter,2.5.2+galaxy1,deleted,,,,,,
1,ice2,ice-lake,57b34d610b01b7e1,7a16757b385100f9,SRR24043307 ucsc.hg38.knownGene.gtf,bedtools_genomecoveragebed,2.30.0,ok,1.0000000,4080.0000000,96.0000000,95156191981.0000000,4080218112.0000000,2764185600.0000000
1,ice2,ice-lake,57b34d610b01b7e1,d0ec93c740e3d86e,SRR24043307-50 ucsc.hg38.knownGene.gtf,param_value_from_file,unknown,deleted,,,,,,
1,ice2,ice-lake,57b34d610b01b7e1,d0ec93c740e3d86e,SRR24043307-50 ucsc.hg38.knownGene.gtf,revertR2orientationInBam,0.0.2,deleted,,,,,,
2,ice2,ice-lake,57b34d610b01b7e1,858ec42cacb27544,SRR24043307 ucsc.hg38.knownGene.gtf,param_value_from_file,unknown,ok,1.0000000,4080.0000000,4.0000000,3536654298.0000000,4080218112.0000000,184770560.0000000
1,ice2,ice-lake,57b34d610b01b7e1,7a16757b385100f9,SRR24043307 ucsc.hg38.knownGene.gtf,map_param_value,0.1.1,ok,1.0000000,4080.0000000,4.0000000,3501054063.0000000,4080218112.0000000,184590336.0000000
1,ice2,ice-lake,57b34d610b01b7e1,7a16757b385100f9,SRR24043307 ucsc.hg38.knownGene.gtf,rna_star,2.7.8a+galaxy1,ok,16.0000000,68719.0000000,1040.0000000,1953946882434.0000000,68719476736.0000000,68719431680.0000000
1,ice2,ice-lake,57b34d610b01b7e1,d0ec93c740e3d86e,SRR24043307-50 ucsc.hg38.knownGene.gtf,multiqc,1.11+galaxy1,deleting,,,,,,
1,ice2,ice-lake,57b34d610b01b7e1,7a16757b385100f9,SRR24043307 ucsc.hg38.knownGene.gtf,bedtools_genomecoveragebed,2.30.0,ok,1.0000000,4080.0000000,72.0000000,71548637929.0000000,4080218112.0000000,2025377792.0000000
2,ice2,ice-lake,57b34d610b01b7e1,858ec42cacb27544,SRR24043307 ucsc.hg38.knownGene.gtf,bedtools_genomecoveragebed,2.30.0,ok,1.0000000,4080.0000000,75.0000000,74725086933.0000000,4080218112.0000000,2024935424.0000000
1,ice2,ice-lake,57b34d610b01b7e1,7a16757b385100f9,SRR24043307 ucsc.hg38.knownGene.gtf,compose_text_param,0.1.1,ok,1.0000000,4080.0000000,3.0000000,3461100497.0000000,4080218112.0000000,185032704.0000000
1,ice2,ice-lake,57b34d610b01b7e1,7a16757b385100f9,SRR24043307 ucsc.hg38.knownGene.gtf,map_param_value,0.1.1,ok,1.0000000,4080.0000000,4.0000000,3459042003.0000000,4080218112.0000000,184606720.0000000
3,ice2,ice-lake,57b34d610b01b7e1,9c4d91c977a8550c,SRR24043307 ucsc.hg38.knownGene.gtf,cutadapt,4.0+galaxy1,error,,,,,,
1,ice2,ice-lake,57b34d610b01b7e1,7a16757b385100f9,SRR24043307 ucsc.hg38.knownGene.gtf,bamFilter,2.5.2+galaxy1,ok,1.0000000,4080.0000000,295.0000000,294960993993.0000000,4080218112.0000000,2292240384.0000000
2,ice2,ice-lake,57b34d610b01b7e1,858ec42cacb27544,SRR24043307 ucsc.hg38.knownGene.gtf,map_param_value,0.1.1,ok,1.0000000,4080.0000000,3.0000000,3601667007.0000000,4080218112.0000000,184766464.0000000
1,ice2,ice-lake,57b34d610b01b7e1,d0ec93c740e3d86e,SRR24043307-50 ucsc.hg38.knownGene.gtf,cutadapt,4.0+galaxy1,error,,,,,,
3,ice2,ice-lake,57b34d610b01b7e1,9c4d91c977a8550c,SRR24043307 ucsc.hg38.knownGene.gtf,tp_awk_tool,1.1.2,ok,1.0000000,4080.0000000,0E-7,284278935.0000000,4080218112.0000000,7974912.0000000
3,ice2,ice-lake,57b34d610b01b7e1,9c4d91c977a8550c,SRR24043307 ucsc.hg38.knownGene.gtf,map_param_value,0.1.1,ok,1.0000000,4080.0000000,3.0000000,3521408305.0000000,4080218112.0000000,184860672.0000000
2,ice2,ice-lake,57b34d610b01b7e1,858ec42cacb27544,SRR24043307 ucsc.hg38.knownGene.gtf,rna_star,2.7.8a+galaxy1,ok,16.0000000,68719.0000000,467.0000000,1973646113542.0000000,68719476736.0000000,59443433472.0000000
3,ice2,ice-lake,57b34d610b01b7e1,9c4d91c977a8550c,SRR24043307 ucsc.hg38.knownGene.gtf,rna_star,2.7.8a+galaxy1,ok,16.0000000,68719.0000000,409.0000000,1973852606101.0000000,68719476736.0000000,49066106880.0000000
2,ice2,ice-lake,57b34d610b01b7e1,858ec42cacb27544,SRR24043307 ucsc.hg38.knownGene.gtf,map_param_value,0.1.1,ok,1.0000000,4080.0000000,4.0000000,3580788112.0000000,4080218112.0000000,184860672.0000000
1,ice2,ice-lake,57b34d610b01b7e1,d0ec93c740e3d86e,SRR24043307-50 ucsc.hg38.knownGene.gtf,cutadapt,4.0+galaxy1,error,,,,,,
1,ice2,ice-lake,57b34d610b01b7e1,7a16757b385100f9,SRR24043307 ucsc.hg38.knownGene.gtf,map_param_value,0.1.1,ok,1.0000000,4080.0000000,3.0000000,3358749811.0000000,4080218112.0000000,184713216.0000000
3,ice2,ice-lake,57b34d610b01b7e1,9c4d91c977a8550c,SRR24043307 ucsc.hg38.knownGene.gtf,compose_text_param,0.1.1,ok,1.0000000,4080.0000000,4.0000000,3529401340.0000000,4080218112.0000000,184422400.0000000
1,ice2,ice-lake,57b34d610b01b7e1,7a16757b385100f9,SRR24043307 ucsc.hg38.knownGene.gtf,tp_awk_tool,1.1.2,error,,,,,,
2,ice2,ice-lake,57b34d610b01b7e1,858ec42cacb27544,SRR24043307 ucsc.hg38.knownGene.gtf,wig_to_bigWig,unknown,ok,1.0000000,10737.0000000,20.0000000,20139910310.0000000,10737418240.0000000,1795837952.0000000
1,ice2,ice-lake,57b34d610b01b7e1,d0ec93c740e3d86e,SRR24043307-50 ucsc.hg38.knownGene.gtf,tp_awk_tool,1.1.2,deleted,,,,,,
2,ice2,ice-lake,57b34d610b01b7e1,858ec42cacb27544,SRR24043307 ucsc.hg38.knownGene.gtf,bedtools_genomecoveragebed,2.30.0,ok,1.0000000,4080.0000000,72.0000000,72108873229.0000000,4080218112.0000000,2514108416.0000000
3,ice2,ice-lake,57b34d610b01b7e1,9c4d91c977a8550c,SRR24043307 ucsc.hg38.knownGene.gtf,map_param_value,0.1.1,ok,1.0000000,4080.0000000,4.0000000,3553556140.0000000,4080218112.0000000,184602624.0000000
2,ice2,ice-lake,57b34d610b01b7e1,858ec42cacb27544,SRR24043307 ucsc.hg38.knownGene.gtf,tp_awk_tool,1.1.2,ok,1.0000000,4080.0000000,0E-7,49550279.0000000,4080218112.0000000,7868416.0000000
1,ice2,ice-lake,57b34d610b01b7e1,d0ec93c740e3d86e,SRR24043307-50 ucsc.hg38.knownGene.gtf,map_param_value,0.1.1,ok,1.0000000,4080.0000000,3.0000000,3610768845.0000000,4080218112.0000000,184483840.0000000
1,ice2,ice-lake,57b34d610b01b7e1,7a16757b385100f9,SRR24043307 ucsc.hg38.knownGene.gtf,wig_to_bigWig,unknown,ok,1.0000000,10737.0000000,11.0000000,10461802619.0000000,10737418240.0000000,947986432.0000000
1,ice2,ice-lake,57b34d610b01b7e1,7a16757b385100f9,SRR24043307 ucsc.hg38.knownGene.gtf,cufflinks,2.2.1.3,ok,8.0000000,34359.0000000,1411.0000000,6580089041371.0000000,34359738368.0000000,6924500992.0000000
3,ice2,ice-lake,57b34d610b01b7e1,9c4d91c977a8550c,SRR24043307 ucsc.hg38.knownGene.gtf,cufflinks,2.2.1.3,ok,8.0000000,34359.0000000,1354.0000000,6573117273862.0000000,34359738368.0000000,4319989760.0000000
1,ice2,ice-lake,57b34d610b01b7e1,7a16757b385100f9,SRR24043307 ucsc.hg38.knownGene.gtf,tp_awk_tool,1.1.2,ok,1.0000000,4080.0000000,1.0000000,278655880.0000000,4080218112.0000000,8028160.0000000
