id,history_id,history_name,state,tool_id,invocation_id,workflow_id,cpuacct.usage,galaxy_memory_mb,galaxy_slots,memory.limit_in_bytes,memory.max_usage_in_bytes,memory.soft_limit_in_bytes,memtotal,processor_count,runtime_seconds
10012699505e1f47,8bd4a6ce37f9190f,Main-Matrix-2 1 costs col-h 10GB Default,ok,cufflinks/2.2.1.3,,,13883827534800.0000000,68719.0000000,8.0000000,68719476736.0000000,9379422208.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,5882.0000000
850c0a110aaa541b,8bd4a6ce37f9190f,Main-Matrix-2 1 costs col-h 10GB Default,ok,revertR2orientationInBam/0.0.2,,,916214944647.0000000,4080.0000000,1.0000000,4080218112.0000000,4079890432.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,919.0000000
b2b3f55377590ff7,8bd4a6ce37f9190f,Main-Matrix-2 1 costs col-h 10GB Default,ok,bamFilter/2.5.2+galaxy1,,,1387445484185.0000000,4080.0000000,1.0000000,4080218112.0000000,4079759360.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,1387.0000000
49bb416ca68d63c5,8bd4a6ce37f9190f,Main-Matrix-2 1 costs col-h 10GB Default,ok,param_value_from_file,,,5562612904.0000000,4080.0000000,1.0000000,4080218112.0000000,219754496.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,6.0000000
d0829e552acbbcc8,8bd4a6ce37f9190f,Main-Matrix-2 1 costs col-h 10GB Default,ok,multiqc/1.11+galaxy1,,,8810581338.0000000,12240.0000000,1.0000000,12240654336.0000000,177852416.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,11.0000000
0b75ae8c337514d2,8bd4a6ce37f9190f,Main-Matrix-2 1 costs col-h 10GB Default,ok,tp_awk_tool/1.1.2,,,97491683.0000000,4080.0000000,1.0000000,4080218112.0000000,8065024.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,0E-7
ff7a7b804db385d0,8bd4a6ce37f9190f,Main-Matrix-2 1 costs col-h 10GB Default,ok,rna_star/2.7.8a+galaxy1,,,9753115813322.0000000,137438.0000000,16.0000000,137438953472.0000000,82669371392.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,1915.0000000
9d09ef7476466c7e,8bd4a6ce37f9190f,Main-Matrix-2 1 costs col-h 10GB Default,ok,cutadapt/4.0+galaxy1,,,3591643758285.0000000,20401.0000000,5.0000000,20401094656.0000000,20400762880.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,897.0000000
2b5c52af4e9a0b10,8bd4a6ce37f9190f,Main-Matrix-2 1 costs col-h 10GB Default,error,map_param_value/0.1.1,,,4823062004.0000000,4080.0000000,1.0000000,4080218112.0000000,184139776.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,5.0000000
87c27d5a5c2258ac,8bd4a6ce37f9190f,Main-Matrix-2 1 costs col-h 10GB Default,error,map_param_value/0.1.1,,,4708866278.0000000,4080.0000000,1.0000000,4080218112.0000000,184131584.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,5.0000000
7046c7d482bc2704,8bd4a6ce37f9190f,Main-Matrix-2 1 costs col-h 10GB Default,error,map_param_value/0.1.1,,,4833417326.0000000,4080.0000000,1.0000000,4080218112.0000000,184115200.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,5.0000000
cd7da83ce361ea5a,8bd4a6ce37f9190f,Main-Matrix-2 1 costs col-h 10GB Default,error,map_param_value/0.1.1,,,4996077163.0000000,4080.0000000,1.0000000,4080218112.0000000,195239936.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,5.0000000
58bdbfdd56301176,8bd4a6ce37f9190f,Main-Matrix-2 1 costs col-h 10GB Default,error,compose_text_param/0.1.1,,,4974270075.0000000,4080.0000000,1.0000000,4080218112.0000000,184352768.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,5.0000000
