id,history_id,history_name,state,tool_id,invocation_id,workflow_id,cpuacct.usage,galaxy_memory_mb,galaxy_slots,memory.limit_in_bytes,memory.max_usage_in_bytes,memory.soft_limit_in_bytes,memtotal,processor_count,runtime_seconds
7285d5c58063b9df,b382b1a8de0ef4da,Main-Matrix 1 costs col-h 5GB Default,ok,cufflinks/2.2.1.3,,,9492453291937.0000000,68719.0000000,8.0000000,68719476736.0000000,3165036544.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,2840.0000000
0709aa67772e178e,b382b1a8de0ef4da,Main-Matrix 1 costs col-h 5GB Default,error,cufflinks/2.2.1.3,,,,,,,,,,,
f60683bdcd8d5d41,b382b1a8de0ef4da,Main-Matrix 1 costs col-h 5GB Default,ok,wig_to_bigWig,,,17495772743.0000000,10737.0000000,1.0000000,10737418240.0000000,1496272896.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,19.0000000
841e32f176db3b8a,b382b1a8de0ef4da,Main-Matrix 1 costs col-h 5GB Default,ok,wig_to_bigWig,,,16638123425.0000000,10737.0000000,1.0000000,10737418240.0000000,1430401024.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,17.0000000
2c67bca65f758879,b382b1a8de0ef4da,Main-Matrix 1 costs col-h 5GB Default,ok,bedtools_genomecoveragebed/2.30.0,,,163733710796.0000000,4080.0000000,1.0000000,4080218112.0000000,2173407232.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,165.0000000
65b142c7d8abd597,b382b1a8de0ef4da,Main-Matrix 1 costs col-h 5GB Default,ok,bedtools_genomecoveragebed/2.30.0,,,161829491501.0000000,4080.0000000,1.0000000,4080218112.0000000,3507621888.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,162.0000000
c08a869f46521ed3,b382b1a8de0ef4da,Main-Matrix 1 costs col-h 5GB Default,ok,revertR2orientationInBam/0.0.2,,,438667495034.0000000,4080.0000000,1.0000000,4080218112.0000000,2381332480.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,440.0000000
28aa7d64f15fb434,b382b1a8de0ef4da,Main-Matrix 1 costs col-h 5GB Default,ok,wig_to_bigWig,,,34333811055.0000000,10737.0000000,1.0000000,10737418240.0000000,2813452288.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,35.0000000
396171d2cb066bce,b382b1a8de0ef4da,Main-Matrix 1 costs col-h 5GB Default,ok,bedtools_genomecoveragebed/2.30.0,,,215912957366.0000000,4080.0000000,1.0000000,4080218112.0000000,4079767552.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,217.0000000
ade35500bfae09f3,b382b1a8de0ef4da,Main-Matrix 1 costs col-h 5GB Default,ok,bamFilter/2.5.2+galaxy1,,,709170143913.0000000,4080.0000000,1.0000000,4080218112.0000000,4079132672.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,709.0000000
85404eaf971fe47d,b382b1a8de0ef4da,Main-Matrix 1 costs col-h 5GB Default,ok,param_value_from_file,,,3634968965.0000000,4080.0000000,1.0000000,4080218112.0000000,186617856.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,4.0000000
b90457c48ea74d72,b382b1a8de0ef4da,Main-Matrix 1 costs col-h 5GB Default,ok,tp_awk_tool/1.1.2,,,299901026.0000000,4080.0000000,1.0000000,4080218112.0000000,7987200.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,0E-7
9243a4ccbcd8d13e,b382b1a8de0ef4da,Main-Matrix 1 costs col-h 5GB Default,ok,multiqc/1.11+galaxy1,,,6618372013.0000000,12240.0000000,1.0000000,12240654336.0000000,124555264.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,7.0000000
ba1f906b29b0caf0,b382b1a8de0ef4da,Main-Matrix 1 costs col-h 5GB Default,ok,tp_awk_tool/1.1.2,,,63660617.0000000,4080.0000000,1.0000000,4080218112.0000000,5349376.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,0E-7
