id,history_id,history_name,state,tool_id,invocation_id,workflow_id,cpuacct.usage,galaxy_memory_mb,galaxy_slots,memory.limit_in_bytes,memory.max_usage_in_bytes,memory.soft_limit_in_bytes,memtotal,processor_count,runtime_seconds
73a1a50076ab9f9f,5712fa0f490860e8,RNASeq-2 1 costs 8x64 2GB Default,ok,cufflinks/2.2.1.3,,,6643474629924.0000000,34359.0000000,8.0000000,34359738368.0000000,3061170176.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,1385.0000000
428715c5812549c0,5712fa0f490860e8,RNASeq-2 1 costs 8x64 2GB Default,error,cufflinks/2.2.1.3,,,,,,,,,,,
b12adcc8516a79a6,5712fa0f490860e8,RNASeq-2 1 costs 8x64 2GB Default,ok,wig_to_bigWig,,,10975871620.0000000,10737.0000000,1.0000000,10737418240.0000000,948256768.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,12.0000000
2c0248d04661fa94,5712fa0f490860e8,RNASeq-2 1 costs 8x64 2GB Default,ok,wig_to_bigWig,,,10426542414.0000000,10737.0000000,1.0000000,10737418240.0000000,906317824.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,10.0000000
1460cfa8938b7793,5712fa0f490860e8,RNASeq-2 1 costs 8x64 2GB Default,ok,bedtools_genomecoveragebed/2.30.0,,,79329277643.0000000,4080.0000000,1.0000000,4080218112.0000000,2025259008.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,79.0000000
28d62cf27695f61f,5712fa0f490860e8,RNASeq-2 1 costs 8x64 2GB Default,ok,bedtools_genomecoveragebed/2.30.0,,,76648795455.0000000,4080.0000000,1.0000000,4080218112.0000000,2514546688.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,77.0000000
787b6ec634a61bb5,5712fa0f490860e8,RNASeq-2 1 costs 8x64 2GB Default,ok,revertR2orientationInBam/0.0.2,,,185310604202.0000000,4080.0000000,1.0000000,4080218112.0000000,1036406784.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,187.0000000
7c2a9a40ef6199f7,5712fa0f490860e8,RNASeq-2 1 costs 8x64 2GB Default,ok,wig_to_bigWig,,,21200401322.0000000,10737.0000000,1.0000000,10737418240.0000000,1797480448.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,22.0000000
9b7bb291348714ee,5712fa0f490860e8,RNASeq-2 1 costs 8x64 2GB Default,ok,bedtools_genomecoveragebed/2.30.0,,,108057826929.0000000,4080.0000000,1.0000000,4080218112.0000000,2765197312.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,111.0000000
24f1218b40f07ae9,5712fa0f490860e8,RNASeq-2 1 costs 8x64 2GB Default,ok,bamFilter/2.5.2+galaxy1,,,294418334453.0000000,4080.0000000,1.0000000,4080218112.0000000,1026232320.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,295.0000000
