id,history_id,history_name,state,tool_id,invocation_id,workflow_id,cpuacct.usage,galaxy_memory_mb,galaxy_slots,memory.limit_in_bytes,memory.max_usage_in_bytes,memory.soft_limit_in_bytes,memtotal,processor_count,runtime_seconds
804d2282e1a99fac,5cef1a9c93d4df3a,RNASeq 2 costs 10GB Default,ok,cufflinks/2.2.1.3,,,12748560225741.0000000,32212.0000000,6.0000000,32212254720.0000000,9544642560.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,5308.0000000
f9825967b6e8dfbc,5cef1a9c93d4df3a,RNASeq 2 costs 10GB Default,ok,revertR2orientationInBam/0.0.2,,,849990936279.0000000,4080.0000000,1.0000000,4080218112.0000000,4079890432.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,853.0000000
b09a0c2ce82981ea,5cef1a9c93d4df3a,RNASeq 2 costs 10GB Default,ok,bedtools_genomecoveragebed/2.30.0,,,382527597879.0000000,4080.0000000,1.0000000,4080218112.0000000,4079763456.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,384.0000000
6e8cd6f0139a036c,5cef1a9c93d4df3a,RNASeq 2 costs 10GB Default,ok,bamFilter/2.5.2+galaxy1,,,1377850858418.0000000,4080.0000000,1.0000000,4080218112.0000000,4079759360.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,1378.0000000
e714fc95c2541d96,5cef1a9c93d4df3a,RNASeq 2 costs 10GB Default,ok,map_param_value/0.1.1,,,3567202330.0000000,4080.0000000,1.0000000,4080218112.0000000,184578048.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,4.0000000
bc9b071ef11cc55a,5cef1a9c93d4df3a,RNASeq 2 costs 10GB Default,ok,param_value_from_file,,,3610353767.0000000,4080.0000000,1.0000000,4080218112.0000000,184324096.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,3.0000000
c8c28b452c79c061,5cef1a9c93d4df3a,RNASeq 2 costs 10GB Default,ok,multiqc/1.11+galaxy1,,,6638186925.0000000,12240.0000000,1.0000000,12240654336.0000000,119803904.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,8.0000000
4b7b92da010683c2,5cef1a9c93d4df3a,RNASeq 2 costs 10GB Default,ok,tp_awk_tool/1.1.2,,,288942914.0000000,4080.0000000,1.0000000,4080218112.0000000,7856128.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,0E-7
00b0a7046396fed7,5cef1a9c93d4df3a,RNASeq 2 costs 10GB Default,ok,tp_awk_tool/1.1.2,,,61453694.0000000,4080.0000000,1.0000000,4080218112.0000000,5033984.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,0E-7
8d43a12981549e16,5cef1a9c93d4df3a,RNASeq 2 costs 10GB Default,ok,rna_star/2.7.8a+galaxy1,,,7314867120208.0000000,53687.0000000,10.0000000,53687091200.0000000,53687033856.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,1955.0000000
a6a9fe5d1ab5cd88,5cef1a9c93d4df3a,RNASeq 2 costs 10GB Default,ok,cutadapt/4.0+galaxy1,,,3277508554703.0000000,20401.0000000,5.0000000,20401094656.0000000,20400644096.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,784.0000000
9f3c3d13118cb541,5cef1a9c93d4df3a,RNASeq 2 costs 10GB Default,ok,map_param_value/0.1.1,,,3662993011.0000000,4080.0000000,1.0000000,4080218112.0000000,184406016.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,3.0000000
6da544dea2839799,5cef1a9c93d4df3a,RNASeq 2 costs 10GB Default,ok,map_param_value/0.1.1,,,3758867830.0000000,4080.0000000,1.0000000,4080218112.0000000,184135680.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,3.0000000
08e2735349908ef4,5cef1a9c93d4df3a,RNASeq 2 costs 10GB Default,error,map_param_value/0.1.1,,,,,,,,,,,
fac8d2010ae102c0,5cef1a9c93d4df3a,RNASeq 2 costs 10GB Default,ok,compose_text_param/0.1.1,,,3762278321.0000000,4080.0000000,1.0000000,4080218112.0000000,184053760.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,3.0000000
676f75fda5f774b2,5cef1a9c93d4df3a,RNASeq 2 costs 10GB Default,ok,map_param_value/0.1.1,,,3736880694.0000000,4080.0000000,1.0000000,4080218112.0000000,184197120.0000000,9223372036854771712.0000000,198047180.0000000,48.0000000,4.0000000
