Run,Cloud,Job Conf,Workflow,History,Inputs,Tool,Tool Version,State,Slots,Memory,Runtime (Sec),CPU,Memory Limit (Bytes),Memory Max usage (Bytes)
2,cascade,Default,7b495e5fd5680d21,7f6f9e1ed7481a4f,10k_mouse_R1.fastq.gz 10k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,alevin,1.9.0+galaxy2,ok,8.0000000,98784.0000000,2888.0000000,9173694409662.0000000,98784247808.0000000,92117368832.0000000
3,cascade,Default,7b495e5fd5680d21,35ffd898134b0f96,10k_mouse_R1.fastq.gz 10k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,_dropletBarcodePlot,1.6.1+galaxy2,ok,1.0000000,5368.0000000,18.0000000,17989169746.0000000,5368709120.0000000,2042568704.0000000
2,cascade,Default,7b495e5fd5680d21,7f6f9e1ed7481a4f,10k_mouse_R1.fastq.gz 10k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,CONVERTER_gz_to_uncompressed,unknown,ok,1.0000000,5368.0000000,1.0000000,1313509675.0000000,5368709120.0000000,299278336.0000000
1,cascade,Default,7b495e5fd5680d21,0603069e5e9bbb70,10k_mouse_R1.fastq.gz 10k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,Cut1,unknown,ok,1.0000000,5368.0000000,0E-7,116719028.0000000,5368709120.0000000,7532544.0000000
1,cascade,Default,7b495e5fd5680d21,0603069e5e9bbb70,10k_mouse_R1.fastq.gz 10k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,alevin,1.9.0+galaxy2,ok,8.0000000,98784.0000000,2847.0000000,9287139813897.0000000,98784247808.0000000,79152406528.0000000
3,cascade,Default,7b495e5fd5680d21,35ffd898134b0f96,10k_mouse_R1.fastq.gz 10k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,_ensembl_gtf2gene_list,1.52.0+galaxy0,ok,1.0000000,5368.0000000,101.0000000,97934025157.0000000,5368709120.0000000,2035347456.0000000
3,cascade,Default,7b495e5fd5680d21,35ffd898134b0f96,10k_mouse_R1.fastq.gz 10k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,CONVERTER_gz_to_uncompressed,unknown,ok,1.0000000,5368.0000000,2.0000000,1327250254.0000000,5368709120.0000000,299601920.0000000
2,cascade,Default,7b495e5fd5680d21,7f6f9e1ed7481a4f,10k_mouse_R1.fastq.gz 10k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,_ensembl_gtf2gene_list,1.52.0+galaxy0,ok,1.0000000,5368.0000000,101.0000000,98063747326.0000000,5368709120.0000000,2027147264.0000000
1,cascade,Default,7b495e5fd5680d21,0603069e5e9bbb70,10k_mouse_R1.fastq.gz 10k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,_ensembl_gtf2gene_list,1.52.0+galaxy0,ok,1.0000000,5368.0000000,11.0000000,8959247933.0000000,5368709120.0000000,1413087232.0000000
3,cascade,Default,7b495e5fd5680d21,35ffd898134b0f96,10k_mouse_R1.fastq.gz 10k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,alevin,1.9.0+galaxy2,error,,,,,,
2,cascade,Default,7b495e5fd5680d21,7f6f9e1ed7481a4f,10k_mouse_R1.fastq.gz 10k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,join1,unknown,ok,1.0000000,19327.0000000,1.0000000,700295493.0000000,19327352832.0000000,42340352.0000000
2,cascade,Default,7b495e5fd5680d21,7f6f9e1ed7481a4f,10k_mouse_R1.fastq.gz 10k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,dropletutils_read_10x,1.0.4+galaxy0,ok,1.0000000,5368.0000000,35.0000000,34518677603.0000000,5368709120.0000000,1886240768.0000000
3,cascade,Default,7b495e5fd5680d21,35ffd898134b0f96,10k_mouse_R1.fastq.gz 10k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,dropletutils_empty_drops,1.0.4+galaxy0,deleted,,,,,,
1,cascade,Default,7b495e5fd5680d21,0603069e5e9bbb70,10k_mouse_R1.fastq.gz 10k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,_dropletBarcodePlot,1.6.1+galaxy2,ok,1.0000000,5368.0000000,17.0000000,16517429206.0000000,5368709120.0000000,1639501824.0000000
3,cascade,Default,7b495e5fd5680d21,35ffd898134b0f96,10k_mouse_R1.fastq.gz 10k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,_dropletBarcodePlot,1.6.1+galaxy2,ok,1.0000000,5368.0000000,63.0000000,62921407143.0000000,5368709120.0000000,5184491520.0000000
