id,history_id,history_name,state,tool_id,invocation_id,workflow_id,cpuacct.usage,galaxy_memory_mb,galaxy_slots,memory.limit_in_bytes,memory.max_usage_in_bytes,memory.soft_limit_in_bytes,memtotal,processor_count,runtime_seconds
024da3321c6aaff7,93915dcb6652de5e,Singe-Cell-Experiment 3 cascade Mouse-1k Single-Cell,ok,sceasy_convert/0.0.5+galaxy1,,,7555121162.0000000,4080.0000000,1.0000000,4080218112.0000000,775626752.0000000,9223372036854771712.0000000,198046800.0000000,48.0000000,7.0000000
c542e59e37592423,93915dcb6652de5e,Singe-Cell-Experiment 3 cascade Mouse-1k Single-Cell,ok,dropletutils_empty_drops/1.0.4+galaxy0,,,19226560506.0000000,4080.0000000,1.0000000,4080218112.0000000,1043832832.0000000,9223372036854771712.0000000,198046800.0000000,48.0000000,19.0000000
f9c54b8f4d498947,93915dcb6652de5e,Singe-Cell-Experiment 3 cascade Mouse-1k Single-Cell,ok,dropletutils_read_10x/1.0.4+galaxy0,,,11175854363.0000000,4080.0000000,1.0000000,4080218112.0000000,781312000.0000000,9223372036854771712.0000000,198046800.0000000,48.0000000,12.0000000
75a3ec6988020332,93915dcb6652de5e,Singe-Cell-Experiment 3 cascade Mouse-1k Single-Cell,ok,Cut1,,,126863598.0000000,4080.0000000,1.0000000,4080218112.0000000,7589888.0000000,9223372036854771712.0000000,198046800.0000000,48.0000000,0E-7
2bdf2b1e25a8b04e,93915dcb6652de5e,Singe-Cell-Experiment 3 cascade Mouse-1k Single-Cell,ok,join1,,,724546594.0000000,19327.0000000,1.0000000,19327352832.0000000,40460288.0000000,9223372036854771712.0000000,198046800.0000000,48.0000000,1.0000000
47d671af6f5933f2,93915dcb6652de5e,Singe-Cell-Experiment 3 cascade Mouse-1k Single-Cell,ok,_salmon_kallisto_mtx_to_10x/0.0.1+galaxy6,,,13254676737.0000000,4080.0000000,1.0000000,4080218112.0000000,362913792.0000000,9223372036854771712.0000000,198046800.0000000,48.0000000,14.0000000
c13bcd27766c9886,93915dcb6652de5e,Singe-Cell-Experiment 3 cascade Mouse-1k Single-Cell,ok,alevin/1.9.0+galaxy2,,,5978437015570.0000000,98784.0000000,8.0000000,98784247808.0000000,18588000256.0000000,9223372036854771712.0000000,198046800.0000000,48.0000000,1136.0000000
0fc4edb622c1dbd1,93915dcb6652de5e,Singe-Cell-Experiment 3 cascade Mouse-1k Single-Cell,ok,_dropletBarcodePlot/1.6.1+galaxy2,,,21351693325.0000000,4080.0000000,1.0000000,4080218112.0000000,1973084160.0000000,9223372036854771712.0000000,198046800.0000000,48.0000000,22.0000000
b424031e90515e8d,93915dcb6652de5e,Singe-Cell-Experiment 3 cascade Mouse-1k Single-Cell,ok,_dropletBarcodePlot/1.6.1+galaxy2,,,7669972623.0000000,4080.0000000,1.0000000,4080218112.0000000,759873536.0000000,9223372036854771712.0000000,198046800.0000000,48.0000000,7.0000000
3c1d0dd9ec6ba13f,93915dcb6652de5e,Singe-Cell-Experiment 3 cascade Mouse-1k Single-Cell,ok,alevin/1.9.0+galaxy2,,,1718752881225.0000000,98784.0000000,8.0000000,98784247808.0000000,17371287552.0000000,9223372036854771712.0000000,198046800.0000000,48.0000000,502.0000000
b75642aeee00a719,93915dcb6652de5e,Singe-Cell-Experiment 3 cascade Mouse-1k Single-Cell,ok,CONVERTER_gz_to_uncompressed,,,1313355147.0000000,4080.0000000,1.0000000,4080218112.0000000,299417600.0000000,9223372036854771712.0000000,198046800.0000000,48.0000000,3.0000000
b21107bf50db32e2,93915dcb6652de5e,Singe-Cell-Experiment 3 cascade Mouse-1k Single-Cell,ok,_ensembl_gtf2gene_list/1.52.0+galaxy0,,,98366767087.0000000,4080.0000000,1.0000000,4080218112.0000000,1578344448.0000000,9223372036854771712.0000000,198046800.0000000,48.0000000,102.0000000
46e81124ad986661,93915dcb6652de5e,Singe-Cell-Experiment 3 cascade Mouse-1k Single-Cell,ok,_ensembl_gtf2gene_list/1.52.0+galaxy0,,,8276661817.0000000,4080.0000000,1.0000000,4080218112.0000000,982904832.0000000,9223372036854771712.0000000,198046800.0000000,48.0000000,10.0000000
