Run,Cloud,Job Conf,Workflow,History,Inputs,Tool,Tool Version,State,Slots,Memory,Runtime (Sec),CPU,Memory Limit (Bytes),Memory Max usage (Bytes)
1,cascade,Default,28887f967f9cebd2,ace42225b65c8d46,1k_mouse_R1.fastq.gz 1k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,_dropletBarcodePlot,1.6.1+galaxy2,ok,1.0000000,4080.0000000,8.0000000,7678915805.0000000,4080218112.0000000,767664128.0000000
1,cascade,Default,28887f967f9cebd2,867a28c4c88207da,10k_mouse_R1.fastq.gz 10k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,_ensembl_gtf2gene_list,1.52.0+galaxy0,ok,1.0000000,4080.0000000,11.0000000,8423402589.0000000,4080218112.0000000,871174144.0000000
2,cascade,Default,28887f967f9cebd2,ddf2fa9635ff98e6,5k_mouse_R1.fastq.gz 5k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,_ensembl_gtf2gene_list,1.52.0+galaxy0,ok,1.0000000,4080.0000000,99.0000000,97214972860.0000000,4080218112.0000000,1441288192.0000000
3,cascade,Default,28887f967f9cebd2,7550a34491c8572b,5k_mouse_R1.fastq.gz 5k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,_dropletBarcodePlot,1.6.1+galaxy2,ok,1.0000000,4080.0000000,45.0000000,45615958039.0000000,4080218112.0000000,3817664512.0000000
1,cascade,Default,28887f967f9cebd2,867a28c4c88207da,10k_mouse_R1.fastq.gz 10k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,CONVERTER_gz_to_uncompressed,unknown,ok,1.0000000,4080.0000000,1.0000000,1319619278.0000000,4080218112.0000000,299696128.0000000
2,cascade,Default,28887f967f9cebd2,248edeac106c8d88,10k_mouse_R1.fastq.gz 10k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,Cut1,unknown,deleting,,,,,,
1,cascade,Default,28887f967f9cebd2,867a28c4c88207da,10k_mouse_R1.fastq.gz 10k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,alevin,1.9.0+galaxy2,deleted,,,,,,
1,cascade,Default,28887f967f9cebd2,867a28c4c88207da,10k_mouse_R1.fastq.gz 10k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,_ensembl_gtf2gene_list,1.52.0+galaxy0,ok,1.0000000,4080.0000000,103.0000000,99299756283.0000000,4080218112.0000000,1691308032.0000000
2,cascade,Default,28887f967f9cebd2,d6f2d3e941e27886,1k_mouse_R1.fastq.gz 1k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,join1,unknown,ok,1.0000000,19327.0000000,1.0000000,705045150.0000000,19327352832.0000000,40226816.0000000
2,cascade,Default,28887f967f9cebd2,248edeac106c8d88,10k_mouse_R1.fastq.gz 10k_mouse_R2.fastq.gz Mus_musculus.GRCm39.cdna.all.fa.gz Mus_musculus.GRCm39.111.gtf.gz,CONVERTER_gz_to_uncompressed,unknown,ok,1.0000000,4080.0000000,2.0000000,1341412256.0000000,4080218112.0000000,299618304.0000000
