Run,Cloud,Job Conf,Workflow,History,Inputs,Tool,Tool Version,State,Slots,Memory,Runtime (Sec),CPU,Memory Limit (Bytes),Memory Max usage (Bytes)
1,c4,Default,576169e85cfeb2a8,e2e57b009c5c897e,SRR24043307-10GB GRCh38.p14.gbff.gz,lofreq_viterbi,2.1.5+galaxy0,ok,4.0000000,16320.0000000,878.0000000,1205540240175.0000000,16320872448.0000000,16320430080.0000000
3,c4,Default,576169e85cfeb2a8,6a9d214dffcd8bab,SRR24043307-5GB GRCh38.p14.gbff.gz,lofreq_viterbi,2.1.5+galaxy0,deleting,,,,,,
3,c4,Default,576169e85cfeb2a8,ce93ece198eb3d49,SRR24043307-10GB GRCh38.p14.gbff.gz,multiqc,1.11+galaxy0,ok,1.0000000,12240.0000000,4.0000000,2626851860.0000000,12240654336.0000000,91144192.0000000
2,c4,Default,576169e85cfeb2a8,5af723e4e416cebc,SRR24043307-10GB GRCh38.p14.gbff.gz,fastp,0.23.2+galaxy0,ok,4.0000000,16320.0000000,484.0000000,1874730054479.0000000,16320872448.0000000,16320638976.0000000
1,c4,Default,576169e85cfeb2a8,d86ff1eec4ccabc4,SRR24043307-2GB GRCh38.p14.gbff.gz,picard_MarkDuplicates,2.18.2.2,ok,3.0000000,12884.0000000,808.0000000,1885014033387.0000000,12884901888.0000000,12220833792.0000000
3,c4,Default,576169e85cfeb2a8,ce93ece198eb3d49,SRR24043307-10GB GRCh38.p14.gbff.gz,fastp,0.23.2+galaxy0,ok,4.0000000,16320.0000000,483.0000000,1886124644288.0000000,16320872448.0000000,16320552960.0000000
1,c4,Default,576169e85cfeb2a8,d86ff1eec4ccabc4,SRR24043307-2GB GRCh38.p14.gbff.gz,snpEff_build_gb,4.3+T.galaxy4,ok,1.0000000,51539.0000000,179.0000000,153294488489.0000000,51539607552.0000000,5831770112.0000000
3,c4,Default,576169e85cfeb2a8,6a9d214dffcd8bab,SRR24043307-5GB GRCh38.p14.gbff.gz,picard_MarkDuplicates,2.18.2.2,deleting,,,,,,
2,c4,Default,576169e85cfeb2a8,38298e30698797d6,SRR24043307-2GB GRCh38.p14.gbff.gz,lofreq_filter,2.1.5+galaxy0,ok,1.0000000,16320.0000000,0E-7,206111149.0000000,16320872448.0000000,14090240.0000000
2,c4,Default,576169e85cfeb2a8,5af723e4e416cebc,SRR24043307-10GB GRCh38.p14.gbff.gz,lofreq_call,2.1.5+galaxy1,ok,2.0000000,8589.0000000,6578.0000000,12865393044397.0000000,8589934592.0000000,2435747840.0000000
1,c4,Default,576169e85cfeb2a8,1a57579022816357,SRR24043307-5GB GRCh38.p14.gbff.gz,samtools_view,1.13+galaxy1,ok,1.0000000,4080.0000000,221.0000000,197105979541.0000000,4080218112.0000000,4079763456.0000000
2,c4,Default,576169e85cfeb2a8,5af723e4e416cebc,SRR24043307-10GB GRCh38.p14.gbff.gz,samtools_view,1.13+galaxy1,ok,1.0000000,4080.0000000,412.0000000,387902319470.0000000,4080218112.0000000,4079820800.0000000
3,c4,Default,576169e85cfeb2a8,6a9d214dffcd8bab,SRR24043307-5GB GRCh38.p14.gbff.gz,snpEff_build_gb,4.3+T.galaxy4,ok,1.0000000,51539.0000000,162.0000000,147168959031.0000000,51539607552.0000000,4545261568.0000000
3,c4,Default,576169e85cfeb2a8,bc32504f4ff852a1,SRR24043307-2GB GRCh38.p14.gbff.gz,samtools_view,1.13+galaxy1,ok,1.0000000,4080.0000000,91.0000000,81613043878.0000000,4080218112.0000000,3712139264.0000000
2,c4,Default,576169e85cfeb2a8,5e75cd2e92665559,SRR24043307-5GB GRCh38.p14.gbff.gz,bwa_mem,0.7.17.2,ok,8.0000000,32212.0000000,6188.0000000,21043755484433.0000000,32212254720.0000000,31569838080.0000000
1,c4,Default,576169e85cfeb2a8,d86ff1eec4ccabc4,SRR24043307-2GB GRCh38.p14.gbff.gz,fastp,0.23.2+galaxy0,ok,4.0000000,16320.0000000,102.0000000,360949920689.0000000,16320872448.0000000,6331281408.0000000
2,c4,Default,576169e85cfeb2a8,38298e30698797d6,SRR24043307-2GB GRCh38.p14.gbff.gz,multiqc,1.11+galaxy0,ok,1.0000000,12240.0000000,3.0000000,2369142259.0000000,12240654336.0000000,82853888.0000000
1,c4,Default,576169e85cfeb2a8,1a57579022816357,SRR24043307-5GB GRCh38.p14.gbff.gz,bwa_mem,0.7.17.2,ok,8.0000000,32212.0000000,6207.0000000,20946593675230.0000000,32212254720.0000000,32211804160.0000000
3,c4,Default,576169e85cfeb2a8,ce93ece198eb3d49,SRR24043307-10GB GRCh38.p14.gbff.gz,samtools_stats,2.0.2+galaxy2,ok,1.0000000,4080.0000000,183.0000000,183159840646.0000000,4080218112.0000000,5496832.0000000
1,c4,Default,576169e85cfeb2a8,e2e57b009c5c897e,SRR24043307-10GB GRCh38.p14.gbff.gz,snpEff,4.3+T.galaxy1,ok,1.0000000,12884.0000000,6.0000000,5970924214.0000000,12884901888.0000000,197992448.0000000
1,c4,Default,576169e85cfeb2a8,e2e57b009c5c897e,SRR24043307-10GB GRCh38.p14.gbff.gz,multiqc,1.11+galaxy0,ok,1.0000000,12240.0000000,3.0000000,2682277201.0000000,12240654336.0000000,82960384.0000000
1,c4,Default,576169e85cfeb2a8,1a57579022816357,SRR24043307-5GB GRCh38.p14.gbff.gz,multiqc,1.11+galaxy0,ok,1.0000000,12240.0000000,3.0000000,2572830813.0000000,12240654336.0000000,82726912.0000000
2,c4,Default,576169e85cfeb2a8,5e75cd2e92665559,SRR24043307-5GB GRCh38.p14.gbff.gz,snpEff_build_gb,4.3+T.galaxy4,ok,1.0000000,51539.0000000,180.0000000,150059558004.0000000,51539607552.0000000,4541317120.0000000
1,c4,Default,576169e85cfeb2a8,1a57579022816357,SRR24043307-5GB GRCh38.p14.gbff.gz,lofreq_filter,2.1.5+galaxy0,ok,1.0000000,16320.0000000,0E-7,284748966.0000000,16320872448.0000000,21286912.0000000
3,c4,Default,576169e85cfeb2a8,bc32504f4ff852a1,SRR24043307-2GB GRCh38.p14.gbff.gz,bwa_mem,0.7.17.2,ok,8.0000000,32212.0000000,4730.0000000,10512668348459.0000000,32212254720.0000000,26001559552.0000000
1,c4,Default,576169e85cfeb2a8,e2e57b009c5c897e,SRR24043307-10GB GRCh38.p14.gbff.gz,bwa_mem,0.7.17.2,ok,8.0000000,32212.0000000,8602.0000000,38267729594693.0000000,32212254720.0000000,32212070400.0000000
2,c4,Default,576169e85cfeb2a8,5e75cd2e92665559,SRR24043307-5GB GRCh38.p14.gbff.gz,picard_MarkDuplicates,2.18.2.2,ok,3.0000000,12884.0000000,1811.0000000,4143459835040.0000000,12884901888.0000000,11556384768.0000000
2,c4,Default,576169e85cfeb2a8,38298e30698797d6,SRR24043307-2GB GRCh38.p14.gbff.gz,snpEff_build_gb,4.3+T.galaxy4,ok,1.0000000,51539.0000000,167.0000000,151932433550.0000000,51539607552.0000000,4534235136.0000000
3,c4,Default,576169e85cfeb2a8,6a9d214dffcd8bab,SRR24043307-5GB GRCh38.p14.gbff.gz,bwa_mem,0.7.17.2,error,,,,,,
1,c4,Default,576169e85cfeb2a8,e2e57b009c5c897e,SRR24043307-10GB GRCh38.p14.gbff.gz,samtools_stats,2.0.2+galaxy2,ok,1.0000000,4080.0000000,184.0000000,183719959986.0000000,4080218112.0000000,5406720.0000000
