Run,Cloud,Job Conf,Workflow,History,Inputs,Tool,Tool Version,State,Slots,Memory,Runtime (Sec),CPU,Memory Limit (Bytes),Memory Max usage (Bytes)
2,c3,Default,3da94c735c4527d0,5GB,Paired Collection GRCh38.p14.gbff.gz,samtools_stats,2.0.2+galaxy2,ok,1.0000000,4080.0000000,40.0000000,39756260426.0000000,4080218112.0000000,5296128.0000000
0,N/A,Unknown,3da94c735c4527d0,5GB,Paired Collection GRCh38.p14.gbff.gz,lofreq_viterbi,2.1.5+galaxy0,error,,,,,,
1,c3,Default,3da94c735c4527d0,10GB,Paired Collection GRCh38.p14.gbff.gz,samtools_view,1.13+galaxy1,ok,1.0000000,4080.0000000,87.0000000,81360442297.0000000,4080218112.0000000,3712884736.0000000
2,c3,Default,3da94c735c4527d0,5GB,Paired Collection GRCh38.p14.gbff.gz,lofreq_call,2.1.5+galaxy1,ok,2.0000000,8589.0000000,1699.0000000,3298508546892.0000000,8589934592.0000000,534810624.0000000
2,c3,Default,3da94c735c4527d0,5GB,Paired Collection GRCh38.p14.gbff.gz,multiqc,1.11+galaxy0,ok,1.0000000,12240.0000000,3.0000000,2476342907.0000000,12240654336.0000000,82931712.0000000
0,N/A,Unknown,3da94c735c4527d0,10GB,Paired Collection GRCh38.p14.gbff.gz,lofreq_filter,2.1.5+galaxy0,ok,1.0000000,16320.0000000,0E-7,206054023.0000000,16320872448.0000000,14594048.0000000
1,c3,Default,3da94c735c4527d0,10GB,Paired Collection GRCh38.p14.gbff.gz,lofreq_call,2.1.5+galaxy1,ok,2.0000000,8589.0000000,1696.0000000,3292702364907.0000000,8589934592.0000000,531873792.0000000
1,c3,Default,3da94c735c4527d0,2GB,Paired Collection GRCh38.p14.gbff.gz,lofreq_call,2.1.5+galaxy1,ok,2.0000000,8589.0000000,1700.0000000,3301585425532.0000000,8589934592.0000000,534802432.0000000
0,N/A,Unknown,3da94c735c4527d0,10GB,Paired Collection GRCh38.p14.gbff.gz,multiqc,1.11+galaxy0,ok,1.0000000,12240.0000000,3.0000000,2513996892.0000000,12240654336.0000000,82857984.0000000
0,N/A,Unknown,3da94c735c4527d0,10GB,Paired Collection GRCh38.p14.gbff.gz,lofreq_call,2.1.5+galaxy1,ok,2.0000000,8589.0000000,1700.0000000,3300738587628.0000000,8589934592.0000000,534675456.0000000
2,c3,Default,3da94c735c4527d0,2GB,Paired Collection GRCh38.p14.gbff.gz,bwa_mem,0.7.17.2,ok,8.0000000,32212.0000000,4636.0000000,10483913053619.0000000,32212254720.0000000,20856664064.0000000
1,c3,Default,3da94c735c4527d0,10GB,Paired Collection GRCh38.p14.gbff.gz,multiqc,1.11+galaxy0,ok,1.0000000,12240.0000000,4.0000000,2554115560.0000000,12240654336.0000000,82780160.0000000
0,N/A,Unknown,3da94c735c4527d0,2GB,Paired Collection GRCh38.p14.gbff.gz,samtools_view,1.13+galaxy1,ok,1.0000000,4080.0000000,89.0000000,81702300330.0000000,4080218112.0000000,3712561152.0000000
0,N/A,Unknown,3da94c735c4527d0,2GB,Paired Collection GRCh38.p14.gbff.gz,lofreq_indelqual,2.1.5+galaxy0,ok,1.0000000,12240.0000000,154.0000000,148827995382.0000000,12240654336.0000000,2962604032.0000000
1,c3,Default,3da94c735c4527d0,5GB,Paired Collection GRCh38.p14.gbff.gz,lofreq_filter,2.1.5+galaxy0,ok,1.0000000,16320.0000000,0E-7,206802864.0000000,16320872448.0000000,14090240.0000000
