id,history_id,history_name,state,tool_id,invocation_id,workflow_id,cpuacct.usage,galaxy_memory_mb,galaxy_slots,memory.limit_in_bytes,memory.max_usage_in_bytes,memory.soft_limit_in_bytes,memtotal,processor_count,runtime_seconds
025cab93c585afe7,717a91f8842b1f22,VC-1 2 c3 Variant-Calling 10GB,ok,snpEff/4.3+T.galaxy1,,,4320070670.0000000,12884.0000000,1.0000000,12884901888.0000000,184459264.0000000,9223372036854771712.0000000,198046800.0000000,48.0000000,4.0000000
8b4f9fd6bd1f4c65,717a91f8842b1f22,VC-1 2 c3 Variant-Calling 10GB,ok,lofreq_filter/2.1.5+galaxy0,,,206729716.0000000,16320.0000000,1.0000000,16320872448.0000000,14024704.0000000,9223372036854771712.0000000,198046800.0000000,48.0000000,0E-7
f8fe230f6016a727,717a91f8842b1f22,VC-1 2 c3 Variant-Calling 10GB,ok,lofreq_call/2.1.5+galaxy1,,,3294729429691.0000000,8589.0000000,2.0000000,8589934592.0000000,534765568.0000000,9223372036854771712.0000000,198046800.0000000,48.0000000,1696.0000000
75fe6ee136c7a7cd,717a91f8842b1f22,VC-1 2 c3 Variant-Calling 10GB,ok,lofreq_indelqual/2.1.5+galaxy0,,,149592303986.0000000,12240.0000000,1.0000000,12240654336.0000000,2962673664.0000000,9223372036854771712.0000000,198046800.0000000,48.0000000,155.0000000
0f9b140ff18a76c7,717a91f8842b1f22,VC-1 2 c3 Variant-Calling 10GB,ok,lofreq_viterbi/2.1.5+galaxy0,,,340053658535.0000000,16320.0000000,4.0000000,16320872448.0000000,7289659392.0000000,9223372036854771712.0000000,198046800.0000000,48.0000000,252.0000000
35738fb8ab758676,717a91f8842b1f22,VC-1 2 c3 Variant-Calling 10GB,ok,multiqc/1.11+galaxy0,,,2671379779.0000000,12240.0000000,1.0000000,12240654336.0000000,82866176.0000000,9223372036854771712.0000000,198046800.0000000,48.0000000,3.0000000
dd409643058871ee,717a91f8842b1f22,VC-1 2 c3 Variant-Calling 10GB,ok,picard_MarkDuplicates/2.18.2.2,,,1748161647654.0000000,12884.0000000,3.0000000,12884901888.0000000,12203372544.0000000,9223372036854771712.0000000,198046800.0000000,48.0000000,758.0000000
2caad4987d2c721c,717a91f8842b1f22,VC-1 2 c3 Variant-Calling 10GB,ok,samtools_stats/2.0.2+galaxy2,,,39236422655.0000000,4080.0000000,1.0000000,4080218112.0000000,5054464.0000000,9223372036854771712.0000000,198046800.0000000,48.0000000,39.0000000
1d7e4a3ea7732c0f,717a91f8842b1f22,VC-1 2 c3 Variant-Calling 10GB,ok,samtools_view/1.13+galaxy1,,,81972882645.0000000,4080.0000000,1.0000000,4080218112.0000000,3712192512.0000000,9223372036854771712.0000000,198046800.0000000,48.0000000,88.0000000
c6583f30267f07d2,717a91f8842b1f22,VC-1 2 c3 Variant-Calling 10GB,ok,bwa_mem/0.7.17.2,,,10783906763620.0000000,32212.0000000,8.0000000,32212254720.0000000,25478291456.0000000,9223372036854771712.0000000,198046800.0000000,48.0000000,5022.0000000
